name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,honsid,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff,before_after
Kieran AultConnell,M,Yes,OAM,VIC,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Kieran_Ault-Connell,33122198,886926,2011-09-18,2001-01-26,2011,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Paralympic Games Sydney 2000.,Australian Paralympic athlete,1,2001-01-26,2001,2011,3887,10,2011-W37,2001-W04,555,on or after honours
Kim Beazley,M,Yes,AC,WA,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/Kim_Beazley,322538,1139644,2003-09-20,2009-01-26,2003,2009,Companion of the Order of Australia,Australia Day 2009 Honours List,G,"For service to the Parliament of Australia through contributions to the development of government policies in relation to defence and international relations, as an advocate for Indigenous people, and to the community.","Australian politician, academic, diplomat, and viceroy",1,2009-01-26,2009,2003,-1955,-6,2003-W38,2009-W05,-280,before Honours
Kim Brennan,F,Yes,AM,ACT,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Kim_Brennan,30748679,1154684,2011-02-05,2017-01-26,2011,2017,Member of the Order of Australia,Australia Day 2017 Honours List,G,"For significant service to rowing, to the welfare of elite athletes, to sport as a gold medallist at the Rio 2016 Olympic Games, and to the community.",Australian rower,1,2017-01-26,2017,2011,-2182,-6,2011-W05,2017-W04,-312,before Honours
Kim Carpenter,M,Yes,AM,NSW,2013-06-10,2013,Post,https://en.wikipedia.org/wiki/Kim_Carpenter,53999184,1147784,2017-05-09,2013-06-10,2017,2013,Member of the Order of Australia,The Queen's Birthday 2013 Honours List,G,For significant service to the performing arts.,"Australian theatre director, designer and devisor",1,2013-06-10,2013,2017,1429,4,2017-W19,2013-W24,204,on or after honours
Kim Dalton,M,Yes,OAM,NSW,2007-06-11,2007,Post,https://en.wikipedia.org/wiki/Kim_Dalton,18568725,1134896,2008-07-25,2007-06-11,2008,2007,Medal of the Order of Australia,The Queen's Birthday 2007 Honours List,G,"For service to the film and television industry  as a leader in policy debate amongst government agencies and the industry, as a mentor of independent and Indigenous producers, and as a promoter of emerging visual technology.",Australian television executive,1,2007-06-11,2007,2008,410,1,2008-W30,2007-W24,58,on or after honours
Kim McKay,F,Yes,AO,NSW,2008-06-09,2008,Post,https://en.wikipedia.org/wiki/Kim_McKay,30714583,1138603,2011-02-02,2008-06-09,2011,2008,Officer of the Order of Australia,The Queen's Birthday 2008 Honours List,G,"For service to the environment through executive public relations roles with a range of organisations, particularly as co-founder of Clean Up Australia and Clean Up the World, and to the community.",Australian environmentalist,1,2008-06-09,2008,2011,968,3,2011-W05,2008-W24,138,on or after honours
Kim Williams media executive,M,Yes,AM,NSW,2006-06-12,2006,Post,https://en.wikipedia.org/wiki/Kim_Williams_(media_executive),40275158,1132996,2013-08-18,2006-06-12,2013,2006,Member of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to arts administration through executive roles with a range of cultural organisations, to music education and the formulation of arts related public policy.",Australian media executive,1,2006-06-12,2006,2013,2624,7,2013-W33,2006-W24,374,on or after honours
Kirstie Marshall,F,Yes,OAM,VIC,2003-06-09,2003,Post,https://en.wikipedia.org/wiki/Kirstie_Marshall,2436481,1044028,2005-08-12,2003-06-09,2005,2003,Medal of the Order of Australia,The Queen's Birthday 2003 Honours List,NA,"For service to skiing as a competitor, adviser and administrator.",Australian skier and politician,1,2003-06-09,2003,2005,795,2,2005-W32,2003-W24,113,on or after honours
Kitty Chiller,F,Yes,AM,VIC,2019-01-26,2019,Post,https://en.wikipedia.org/wiki/Kitty_Chiller,43671997,2003408,2014-08-27,2019-01-26,2014,2019,Member of the Order of Australia,Australia Day 2019 Honours List,G,"For significant service to sport, particularly as a modern pentathlon competitor and administrator.",Australian modern pentathlete,1,2019-01-26,2019,2014,-1613,-5,2014-W35,2019-W04,-231,before Honours
Klaus Moje,M,Yes,AO,NSW,2006-03-16,2006,Post,https://en.wikipedia.org/wiki/Klaus_Moje,35574367,1129451,2012-04-22,2006-03-16,2012,2006,Officer of the Order of Australia,Honorary Appointments,HG,For service to the visual arts as a glass artist.,German–Australian glass artist,1,2006-03-16,2006,2012,2229,6,2012-W16,2006-W11,318,on or after honours
Kurt Fearnley,M,Yes,OAM,NSW,2005-01-26,2005,Post,https://en.wikipedia.org/wiki/Kurt_Fearnley,987842,1057850,2004-09-15,2005-01-26,2004,2005,Medal of the Order of Australia,Australia Day 2005 Honours List,NA,For service to sport as a Gold Medallist at the Athens 2004 Paralympic Games.,Australian paralympic athlete,1,2005-01-26,2005,2004,-133,-1,2004-W38,2005-W04,-19,before Honours
Kurt Lambeck,M,Yes,AO,ACT,2009-06-08,2009,Post,https://en.wikipedia.org/wiki/Kurt_Lambeck,15718381,1140788,2008-02-12,2009-06-08,2008,2009,Officer of the Order of Australia,The Queen's Birthday 2009 Honours List,G,"For service to science through the development of policy, the promotion of educational programs and as a researcher and educator in the field of geoscience.",Dutch–Australian geophysicist,1,2009-06-08,2009,2008,-482,-1,2008-W07,2009-W24,-69,before Honours
Kurt M Campbell,M,Yes,AO,Other,2013-11-25,2013,Post,https://en.wikipedia.org/wiki/Kurt_M._Campbell,13890388,1148643,2007-10-24,2013-11-25,2007,2013,Officer of the Order of Australia,Honorary Appointments,HG,For service to strengthening bilateral relations between Australia and the United States of America.,American diplomat,1,2013-11-25,2013,2007,-2224,-6,2007-W43,2013-W48,-318,before Honours
Kyle Chalmers,M,Yes,OAM,SA,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Kyle_Chalmers,47653846,1154891,2015-08-29,2017-01-26,2015,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Olympic Games.,Australian swimmer,1,2017-01-26,2017,2015,-516,-2,2015-W35,2017-W04,-74,before Honours
Kylie Minogue,F,Yes,AO,Other,2019-01-26,2019,Post,https://en.wikipedia.org/wiki/Kylie_Minogue,16894,2002398,2001-10-04,2019-01-26,2001,2019,Officer of the Order of Australia,Australia Day 2019 Honours List,G,For distinguished service to the performing arts as a national and international recording artist and entertainer.,"Australian-British singer, songwriter, actress, and record producer",1,2019-01-26,2019,2001,-6323,-18,2001-W40,2019-W04,-904,before Honours
Kylie Palmer,F,Yes,OAM,QLD,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/Kylie_Palmer,16307240,1140088,2008-03-16,2009-01-26,2008,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Olympic Games.,"Australian swimmer, Olympic gold medallist, world champion, former world record-holder",1,2009-01-26,2009,2008,-316,-1,2008-W11,2009-W05,-46,before Honours
Kym Anderson,M,Yes,AC,SA,2015-06-08,2015,Post,https://en.wikipedia.org/wiki/Kym_Anderson,26623579,1151736,2010-03-20,2015-06-08,2010,2015,Companion of the Order of Australia,The Queen's Birthday 2015 Honours List,G,"For eminent service to higher education as a leading academic and researcher, particularly in the field of agricultural economics, to the study of international trade and poverty reduction in developing countries, and to the viticulture industry.",Australian economist,1,2015-06-08,2015,2010,-1906,-5,2010-W11,2015-W24,-273,before Honours
Lakeisha Patterson,F,Yes,OAM,QLD,2017-01-26,2017,Post,https://en.wikipedia.org/wiki/Lakeisha_Patterson,47259817,1155166,2015-07-17,2017-01-26,2015,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Paralympic Games.,Australian swimmer,1,2017-01-26,2017,2015,-559,-2,2015-W29,2017-W04,-80,before Honours
Lana Cantrell,F,Yes,AM,Other,2003-01-26,2003,Post,https://en.wikipedia.org/wiki/Lana_Cantrell,23726890,1042163,2009-07-24,2003-01-26,2009,2003,Member of the Order of Australia,Australia Day 2003 Honours List,NA,"For service to the entertainment industry, and for assistance to the Australian community in New York.",Australian-American singer and entertainment lawyer,1,2003-01-26,2003,2009,2371,6,2009-W30,2003-W04,338,on or after honours
Lara Davenport,F,Yes,OAM,NSW,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/Lara_Davenport,18856567,1139884,2008-08-14,2009-01-26,2008,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Olympic Games.,"Australian swimmer, Olympic gold medallist",1,2009-01-26,2009,2008,-165,-1,2008-W33,2009-W05,-24,before Honours
Larissa Behrendt,F,Yes,AO,NSW,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Larissa_Behrendt,3170659,2005582,2005-11-16,2020-01-26,2005,2020,Officer of the Order of Australia,Australia Day 2020 Honours List,G,"For distinguished service to Indigenous education and research, to the law, and to the visual and performing arts.",Indigenous Australian academic and writer,1,2020-01-26,2020,2005,-5184,-15,2005-W46,2020-W04,-741,before Honours
Lauren Burns,F,Yes,OAM,VIC,2001-01-26,2001,Post,https://en.wikipedia.org/wiki/Lauren_Burns,16786543,887224,2008-04-06,2001-01-26,2008,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,Australian martial artist,1,2001-01-26,2001,2008,2627,7,2008-W14,2001-W04,375,on or after honours
Lauren Jackson,F,Yes,AO,NSW,2015-06-08,2015,Post,https://en.wikipedia.org/wiki/Lauren_Jackson,35678670,1151762,2004-04-13,2015-06-08,2004,2015,Officer of the Order of Australia,The Queen's Birthday 2015 Honours List,G,"For distinguished service to basketball as an athlete at the national and international level, as a mentor for women in sport, and as a supporter of a range of cultural and social welfare groups.",Australian basketball player,1,2015-06-08,2015,2004,-4073,-11,2004-W16,2015-W24,-582,before Honours
Lawrence Springborg,M,Yes,AM,QLD,2020-06-07,2020,Post,https://en.wikipedia.org/wiki/Lawrence_Springborg,1059577,2006688,2004-10-12,2020-06-07,2004,2020,Member of the Order of Australia,The Queen's Birthday 2020 Honours List,G,"For significant service to the Parliament of Queensland, and to the community of the Southern Downs.",Australian politician,1,2020-06-07,2020,2004,-5717,-16,2004-W42,2020-W23,-817,before Honours
Layne Beachley,F,Yes,AO,NSW,2015-01-26,2015,Post,https://en.wikipedia.org/wiki/Layne_Beachley,1638687,1150745,2005-03-23,2015-01-26,2005,2015,Officer of the Order of Australia,Australia Day 2015 Honours List,G,"For distinguished service to the community through support for a range of charitable organisations, as a mentor for women in sport, and to surfing as a world champion competitor.",Australian surfer,1,2015-01-26,2015,2005,-3596,-10,2005-W12,2015-W05,-514,before Honours
Lea Waters,F,Yes,AM,VIC,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Lea_Waters,63731626,2005924,2020-04-22,2020-01-26,2020,2020,Member of the Order of Australia,Australia Day 2020 Honours List,G,"For significant service to education, and to psychology.",Australian psychologist,1,2020-01-26,2020,2020,87,0,2020-W17,2020-W04,12,on or after honours
Leanne Benjamin,F,Yes,AM,Other,2015-01-26,2015,Post,https://en.wikipedia.org/wiki/Leanne_Benjamin,12379151,1150792,2007-07-22,2015-01-26,2007,2015,Member of the Order of Australia,Australia Day 2015 Honours List,G,"For significant service to the performing arts, particularly ballet, as a dancer and role model.",Australian ballet dancer,1,2015-01-26,2015,2007,-2745,-8,2007-W29,2015-W05,-393,before Honours
Lee Kernaghan,M,Yes,OAM,Other,2004-01-26,2004,Post,https://en.wikipedia.org/wiki/Lee_Kernaghan,2193612,1056303,2005-07-09,2004-01-26,2005,2004,Medal of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to remote and regional communities through the 'Pass the Hat Around' fundraising concerts, and to country music as an artist and performer.",Australian country music singer-songwriter,1,2004-01-26,2004,2005,530,1,2005-W27,2004-W05,75,on or after honours
Lee Tarlamis,M,Yes,OAM,VIC,2018-06-11,2018,Post,https://en.wikipedia.org/wiki/Lee_Tarlamis,30064090,2001378,2010-12-16,2018-06-11,2010,2018,Medal of the Order of Australia,The Queen's Birthday 2018 Honours List,G,For service to the people and Parliament of Victoria.,Australian politician,1,2018-06-11,2018,2010,-2734,-8,2010-W50,2018-W24,-391,before Honours
Leigh Clifford,M,Yes,AO,VIC,2008-01-26,2008,Post,https://en.wikipedia.org/wiki/Leigh_Clifford,15155394,1137403,2008-01-11,2008-01-26,2008,2008,Officer of the Order of Australia,Australia Day 2008 Honours List,G,"For service to business through executive roles in the mining industry, to the promotion of international trade and the development of export markets, and to the arts.",Australian company director,1,2008-01-26,2008,2008,-15,0,2008-W02,2008-W04,-3,before Honours
Leigh Sales,F,Yes,AM,NSW,2019-06-10,2019,Post,https://en.wikipedia.org/wiki/Leigh_Sales,10234051,2004591,2007-03-24,2019-06-10,2007,2019,Member of the Order of Australia,Queen's Birthday 2019 Honours List,G,For significant service to the broadcast media.,Australian journalist,1,2019-06-10,2019,2007,-4461,-12,2007-W12,2019-W24,-638,before Honours
Leisel Jones,F,Yes,OAM,QLD,2005-01-26,2005,Post,https://en.wikipedia.org/wiki/Leisel_Jones,937355,1057932,2004-08-28,2005-01-26,2004,2005,Medal of the Order of Australia,Australia Day 2005 Honours List,NA,For service to sport as a Gold Medallist at the Athens 2004 Olympic Games.,"Australian swimmer, Olympic gold medallist, world champion, former world record-holder",1,2005-01-26,2005,2004,-151,-1,2004-W35,2005-W04,-22,before Honours
Len Eacott,M,Yes,AM,ACT,2007-01-26,2007,Post,https://en.wikipedia.org/wiki/Len_Eacott,63115327,1133860,2020-02-15,2007-01-26,2020,2007,Member of the Order of Australia,Australia Day 2007 Honours List,M,"For exceptional service and outstanding devotion to duty as Principal Chaplain - Army and Head of Corps, Royal Australian Army Chaplains' Department.",Australian Anglican bishop,1,2007-01-26,2007,2020,4768,13,2020-W07,2007-W04,681,on or after honours
Lenore Manderson,F,Yes,AM,VIC,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Lenore_Manderson,40196589,2005901,2013-08-09,2020-01-26,2013,2020,Member of the Order of Australia,Australia Day 2020 Honours List,G,"For significant service to education, particularly medical anthropology, and to public health.",Australian medical anthropologist,1,2020-01-26,2020,2013,-2361,-7,2013-W32,2020-W04,-338,before Honours
Leo Davies,M,Yes,AO,ACT,2014-01-26,2014,Post,https://en.wikipedia.org/wiki/Leo_Davies,47147487,1148861,2015-07-04,2014-01-26,2015,2014,Officer of the Order of Australia,Australia Day 2014 Honours List,M,For distinguished service to the Australian Defence Force in senior command and staff appointments.,Austrialian air marshal,1,2014-01-26,2014,2015,524,1,2015-W27,2014-W04,74,on or after honours
Leo Hielscher,M,Yes,AC,QLD,2004-06-14,2004,Post,https://en.wikipedia.org/wiki/Leo_Hielscher,26155167,1056740,2010-02-11,2004-06-14,2010,2004,Companion of the Order of Australia,The Queen's Birthday 2004 Honours List,NA,"For service to economic growth and development, to business and finance, and to the community through strong support for major arts, cultural, sporting and charitable organisations.",Australian public servant,1,2004-06-14,2004,2010,2068,6,2010-W06,2004-W25,295,on or after honours
