wpURL,wikipediaPageID,name,pageCreation,wikidataID,name2
https://en.wikipedia.org/wiki/Ralph_Willis,1356870,Ralph Willis,2005-01-03,Q7288278,Ralph Willis
https://en.wikipedia.org/wiki/Ray_Braithwaite,18415986,Ray Braithwaite,2008-07-13,Q7297227,Ray Braithwaite
https://en.wikipedia.org/wiki/Ray_Crooke,2898941,Ray Crooke,2005-10-13,Q7297367,Ray Crooke
https://en.wikipedia.org/wiki/Ray_Epstein,35992207,Ray Epstein,2012-05-31,Q7297453,Ray Epstein
https://en.wikipedia.org/wiki/Ray_Funnell,26522780,Ray Funnell,2010-03-12,Q7297503,Ray Funnell
https://en.wikipedia.org/wiki/Ray_Gietzelt,38806538,Ray Gietzelt,2013-03-13,Q7297523,Ray Gietzelt
https://en.wikipedia.org/wiki/Ray_Griggs,32036690,Ray Griggs,2011-06-10,Q7297552,Ray Griggs
https://en.wikipedia.org/wiki/Ray_Hadley,1110731,Ray Hadley,2004-10-28,Q7297571,Ray Hadley
https://en.wikipedia.org/wiki/Ray_Martin_(television_presenter),2004862,Ray Martin (television presenter),2005-06-07,Q7297791,Ray Martin
https://en.wikipedia.org/wiki/Ray_Parkin,4438594,Ray Parkin,2006-03-19,Q7297930,Ray Parkin
https://en.wikipedia.org/wiki/Ray_Price_(rugby),3879423,Ray Price (rugby),2006-01-29,Q7297981,Ray Price
